
  Benchmark lcg from 1 to 256 with step 1.

         N            Ri            Time

         1    4074525504        2.486261
         2    4074525504        2.352650
         3    4074525504        2.277500
         4    4074525504        2.241539
         5    4074525504        2.237098
         6    4074525504        2.226705
         7    4074525504        2.215534
         8    4074525504        2.217709
         9    4074525504        2.205570
        10    4074525504        2.223691
        11    4074525504        2.205492
        12    4074525504        2.201030
        13    4074525504        2.196087
        14    4074525504        2.194394
        15    4074525504        2.195319
        16    4074525504        2.215155
        17    4074525504        2.105140
        18    4074525504        2.192012
        19    4074525504        2.093751
        20    4074525504        2.190645
        21    4074525504        2.189212
        22    4074525504        2.188816
        23    4074525504        2.211289
        24    4074525504        2.187843
        25    4074525504        2.186895
        26    4074525504        2.207988
        27    4074525504        2.224553
        28    4074525504        2.200893
        29    4074525504        2.179374
        30    4074525504        2.181370
        31    4074525504        2.176702
        32    4074525504        2.185555
        33    4074525504        2.177837
        34    4074525504        2.202446
        35    4074525504        2.191676
        36    4074525504        2.176596
        37    4074525504        2.173946
        38    4074525504        2.216331
        39    4074525504        2.203111
        40    4074525504        2.177974
        41    4074525504        2.178835
        42    4074525504        2.198796
        43    4074525504        2.204564
        44    4074525504        2.186002
        45    4074525504        2.180648
        46    4074525504        2.235897
        47    4074525504        2.179425
        48    4074525504        2.182831
        49    4074525504        2.180560
        50    4074525504        2.164749
        51    4074525504        2.177891
        52    4074525504        2.160888
        53    4074525504        2.199403
        54    4074525504        2.153048
        55    4074525504        2.179535
        56    4074525504        2.181462
        57    4074525504        2.179604
        58    4074525504        2.199391
        59    4074525504        2.179333
        60    4074525504        2.178825
        61    4074525504        2.167065
        62    4074525504        2.177166
        63    4074525504        2.189136
        64    4074525504        2.186548
        65    4074525504        2.178916
        66    4074525504        2.203413
        67    4074525504        2.184185
        68    4074525504        2.174289
        69    4074525504        2.170344
        70    4074525504        2.194958
        71    4074525504        2.200279
        72    4074525504        2.188991
        73    4074525504        2.223611
        74    4074525504        2.201878
        75    4074525504        2.175172
        76    4074525504        2.165193
        77    4074525504        2.163268
        78    4074525504        2.171837
        79    4074525504        2.164646
        80    4074525504        2.177736
        81    4074525504        2.163961
        82    4074525504        2.201094
        83    4074525504        2.173657
        84    4074525504        2.173570
        85    4074525504        2.157279
        86    4074525504        2.181981
