
  Benchmark lcg from 1 to 256 with step 1.

         N            Ri            Time

         1    1483440256        1.291382
         2    1483440256        1.265079
         3    1483440256        1.254851
         4    1483440256        1.242092
         5    1483440256        1.222318
         6    1483440256        1.212932
         7    1483440256        1.209575
         8    1483440256        1.204066
         9    1483440256        1.231959
        10    1483440256        1.281320
        11    1483440256        1.194379
        12    1483440256        1.189552
        13    1483440256        1.188038
        14    1483440256        1.187775
        15    1483440256        1.186286
        16    1483440256        1.264755
        17    1483440256        1.183597
        18    1483440256        1.178671
        19    1483440256        1.180136
        20    1483440256        1.185445
        21    1483440256        1.181979
        22    1483440256        1.177648
        23    1483440256        1.176210
        24    1483440256        1.175648
        25    1483440256        1.174979
        26    1483440256        1.174828
        27    1483440256        1.192107
        28    1483440256        1.173813
        29    1483440256        1.171990
        30    1483440256        1.181393
        31    1483440256        1.172427
        32    1483440256        1.169154
        33    1483440256        1.170926
        34    1483440256        1.170123
        35    1483440256        1.170982
        36    1483440256        1.171980
        37    1483440256        1.168736
        38    1483440256        1.399700
        39    1483440256        1.167542
        40    1483440256        1.168406
        41    1483440256        1.167980
        42    1483440256        1.166662
        43    1483440256        1.167565
        44    1483440256        1.170664
        45    1483440256        1.175043
        46    1483440256        1.167147
        47    1483440256        1.173980
        48    1483440256        1.169323
        49    1483440256        1.164983
        50    1483440256        1.167290
        51    1483440256        1.465385
        52    1483440256        1.165483
        53    1483440256        1.166212
        54    1483440256        1.530090
        55    1483440256        1.168031
        56    1483440256        1.187123
        57    1483440256        1.163979
        58    1483440256        1.164286
        59    1483440256        1.184980
        60    1483440256        1.166972
        61    1483440256        1.162275
        62    1483440256        1.163197
        63    1483440256        1.161599
        64    1483440256        1.162160
        65    1483440256        1.164840
        66    1483440256        1.162087
        67    1483440256        1.161190
        68    1483440256        1.163012
        69    1483440256        1.160974
        70    1483440256        1.163227
        71    1483440256        1.178912
        72    1483440256        1.164527
        73    1483440256        1.161266
        74    1483440256        1.165301
        75    1483440256        1.160069
        76    1483440256        1.161716
        77    1483440256        1.161277
        78    1483440256        1.160752
        79    1483440256        1.159984
        80    1483440256        1.162436
        81    1483440256        1.160817
        82    1483440256        1.161991
        83    1483440256        1.160456
        84    1483440256        1.165024
        85    1483440256        1.159955
        86    1483440256        1.162700
        87    1483440256        1.160930
        88    1483440256        1.252897
        89    1483440256        1.161418
        90    1483440256        1.159890
        91    1483440256        1.159563
        92    1483440256        1.160333
        93    1483440256        1.160248
        94    1483440256        1.159634
        95    1483440256        1.159250
        96    1483440256        1.159306
        97    1483440256        1.158039
        98    1483440256        1.163509
        99    1483440256        1.157841
       100    1483440256        1.165593
       101    1483440256        1.157671
       102    1483440256        1.166353
       103    1483440256        1.157676
       104    1483440256        1.160513
       105    1483440256        1.161074
       106    1483440256        1.159755
       107    1483440256        1.158022
       108    1483440256        1.160147
       109    1483440256        1.157237
       110    1483440256        1.159674
       111    1483440256        1.165779
       112    1483440256        1.158330
       113    1483440256        1.156947
       114    1483440256        1.164579
       115    1483440256        1.158878
       116    1483440256        1.164410
       117    1483440256        1.174902
       118    1483440256        1.158581
       119    1483440256        1.163126
       120    1483440256        1.157507
       121    1483440256        1.368641
       122    1483440256        1.158439
       123    1483440256        1.159327
       124    1483440256        1.157221
       125    1483440256        1.156815
       126    1483440256        1.158966
       127    1483440256        1.156847
       128    1483440256        1.157748
       129    1483440256        1.156598
       130    1483440256        1.960290
       131    1483440256        1.584005
       132    1483440256        1.160551
       133    1483440256        1.156264
       134    1483440256        1.157349
       135    1483440256        1.180866
       136    1483440256        1.165554
       137    1483440256        1.156166
       138    1483440256        1.157640
       139    1483440256        1.155969
       140    1483440256        1.163564
       141    1483440256        1.163374
       142    1483440256        1.158875
       143    1483440256        1.158300
       144    1483440256        1.157745
       145    1483440256        1.156651
       146    1483440256        1.156723
       147    1483440256        1.155539
       148    1483440256        1.157083
       149    1483440256        1.158135
       150    1483440256        1.158396
       151    1483440256        1.508752
       152    1483440256        1.156318
       153    1483440256        1.155047
       154    1483440256        1.156322
       155    1483440256        1.158601
       156    1483440256        1.156642
       157    1483440256        1.157764
       158    1483440256        1.159323
       159    1483440256        1.159170
       160    1483440256        1.156722
       161    1483440256        1.155282
       162    1483440256        1.156192
       163    1483440256        1.154839
       164    1483440256        1.156142
       165    1483440256        1.164242
       166    1483440256        1.155841
       167    1483440256        1.154115
       168    1483440256        1.157374
       169    1483440256        1.157427
       170    1483440256        1.156018
       171    1483440256        1.535889
       172    1483440256        1.158032
       173    1483440256        1.154753
       174    1483440256        1.158144
       175    1483440256        1.156368
       176    1483440256        1.160106
       177    1483440256        1.156673
       178    1483440256        1.188673
       179    1483440256        1.155852
       180    1483440256        1.156765
       181    1483440256        1.440986
       182    1483440256        1.167824
       183    1483440256        1.157856
       184    1483440256        1.156980
       185    1483440256        1.154859
       186    1483440256        1.162161
       187    1483440256        1.156115
       188    1483440256        1.161293
       189    1483440256        1.154307
       190    1483440256        1.155459
       191    1483440256        1.457237
       192    1483440256        1.156453
       193    1483440256        1.157708
       194    1483440256        1.156112
       195    1483440256        1.155389
       196    1483440256        1.155513
       197    1483440256        1.155156
       198    1483440256        1.156082
       199    1483440256        1.156113
       200    1483440256        1.155447
       201    1483440256        1.156491
       202    1483440256        1.155391
       203    1483440256        1.154183
       204    1483440256        1.161520
       205    1483440256        1.164890
       206    1483440256        1.536712
       207    1483440256        1.160717
       208    1483440256        1.154821
       209    1483440256        1.155258
       210    1483440256        1.155567
       211    1483440256        1.155676
       212    1483440256        1.154017
       213    1483440256        1.173537
       214    1483440256        1.736210
       215    1483440256        1.691644
       216    1483440256        1.154859
       217    1483440256        1.155994
       218    1483440256        1.215883
       219    1483440256        1.156434
       220    1483440256        1.154857
       221    1483440256        1.154438
       222    1483440256        1.155117
       223    1483440256        1.155579
       224    1483440256        1.154813
       225    1483440256        1.154310
       226    1483440256        1.155041
       227    1483440256        1.154227
       228    1483440256        1.155613
       229    1483440256        1.155464
       230    1483440256        1.154755
       231    1483440256        1.948858
       232    1483440256        1.155867
       233    1483440256        1.154302
       234    1483440256        1.154525
       235    1483440256        1.153981
       236    1483440256        1.154702
       237    1483440256        1.154457
       238    1483440256        1.156296
       239    1483440256        1.153448
       240    1483440256        1.155048
       241    1483440256        1.160304
       242    1483440256        1.157796
       243    1483440256        1.358399
       244    1483440256        1.157084
       245    1483440256        1.154125
       246    1483440256        1.165076
       247    1483440256        1.155484
       248    1483440256        1.159539
       249    1483440256        1.182976
       250    1483440256        1.154200
       251    1483440256        1.153241
       252    1483440256        1.154968
       253    1483440256        1.154437
       254    1483440256        1.154233
       255    1483440256        1.153730
