
  Benchmark lcg from 1 to 256 with step 1.

         N            Ri            Time

         1    1483440256        1.566723
         2    1483440256        1.442781
         3    1483440256        1.387148
         4    1483440256        1.325350
         5    1483440256        1.330653
         6    1483440256        1.312854
         7    1483440256        1.314474
         8    1483440256        1.295309
         9    1483440256        1.302329
        10    1483440256        1.286238
        11    1483440256        1.306753
        12    1483440256        1.283058
        13    1483440256        1.284538
        14    1483440256        1.308666
        15    1483440256        1.281979
        16    1483440256        1.269821
        17    1483440256        1.281486
        18    1483440256        1.274307
        19    1483440256        1.274299
        20    1483440256        1.270963
        21    1483440256        1.276691
        22    1483440256        1.266181
        23    1483440256        1.272166
        24    1483440256        1.268985
        25    1483440256        1.274271
        26    1483440256        1.274383
        27    1483440256        1.262503
        28    1483440256        1.292993
        29    1483440256        1.262767
        30    1483440256        1.258669
        31    1483440256        1.260675
        32    1483440256        1.271850
        33    1483440256        1.265992
        34    1483440256        1.265991
        35    1483440256        1.262367
        36    1483440256        1.264109
        37    1483440256        1.262340
        38    1483440256        1.251235
        39    1483440256        1.264239
        40    1483440256        1.257287
        41    1483440256        1.263247
        42    1483440256        1.261753
        43    1483440256        1.257146
        44    1483440256        1.249630
        45    1483440256        1.257905
        46    1483440256        1.266428
        47    1483440256        1.254261
        48    1483440256        1.270548
        49    1483440256        1.251993
        50    1483440256        1.259530
        51    1483440256        1.256833
        52    1483440256        1.253346
        53    1483440256        1.253493
        54    1483440256        1.271740
        55    1483440256        1.259529
        56    1483440256        1.269142
        57    1483440256        1.251841
        58    1483440256        1.251571
        59    1483440256        1.251489
        60    1483440256        1.244126
        61    1483440256        1.247571
        62    1483440256        1.250827
        63    1483440256        1.249950
        64    1483440256        1.278745
        65    1483440256        1.251344
        66    1483440256        1.266884
        67    1483440256        1.250644
        68    1483440256        1.251135
        69    1483440256        1.243586
        70    1483440256        1.249497
        71    1483440256        1.241865
        72    1483440256        1.251181
        73    1483440256        1.248120
        74    1483440256        1.241553
        75    1483440256        1.245977
        76    1483440256        1.247820
        77    1483440256        1.245998
        78    1483440256        1.249638
        79    1483440256        1.245300
        80    1483440256        1.243265
        81    1483440256        1.264735
        82    1483440256        1.239772
        83    1483440256        1.243973
        84    1483440256        1.248950
        85    1483440256        1.246008
        86    1483440256        1.249646
        87    1483440256        1.241976
        88    1483440256        1.245521
        89    1483440256        1.245481
        90    1483440256        1.312761
        91    1483440256        1.241675
        92    1483440256        1.251949
        93    1483440256        1.237475
        94    1483440256        1.250552
        95    1483440256        1.257086
        96    1483440256        1.257384
        97    1483440256        1.247129
        98    1483440256        1.248782
        99    1483440256        1.236988
       100    1483440256        1.252860
       101    1483440256        1.240285
       102    1483440256        1.245705
       103    1483440256        1.241297
       104    1483440256        1.236313
       105    1483440256        1.269501
       106    1483440256        1.250625
       107    1483440256        1.237134
       108    1483440256        1.241851
       109    1483440256        1.240983
       110    1483440256        1.237800
       111    1483440256        1.247682
       112    1483440256        1.241226
       113    1483440256        1.247652
       114    1483440256        1.316997
       115    1483440256        1.238726
       116    1483440256        1.245351
       117    1483440256        1.239565
       118    1483440256        1.237214
       119    1483440256        1.242129
       120    1483440256        1.239431
       121    1483440256        1.235171
       122    1483440256        1.244481
       123    1483440256        1.233743
       124    1483440256        1.246239
       125    1483440256        1.255312
       126    1483440256        1.234578
       127    1483440256        1.239971
       128    1483440256        1.243811
       129    1483440256        1.239838
       130    1483440256        1.238874
       131    1483440256        1.234647
       132    1483440256        1.239635
       133    1483440256        1.239704
       134    1483440256        1.237605
       135    1483440256        1.239293
       136    1483440256        1.249866
       137    1483440256        1.233566
       138    1483440256        1.241519
       139    1483440256        1.239909
       140    1483440256        1.231004
       141    1483440256        1.248081
       142    1483440256        1.243873
       143    1483440256        1.275555
       144    1483440256        1.236004
       145    1483440256        1.234365
       146    1483440256        1.257942
       147    1483440256        1.237589
